backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_1741,ExponentialSmoothing,30,series_00132,4,2019-02-01,True,2019-03-01,2019-05-01,0.28553,[0.414907 0.214113 0.227571],"[538.8729248046875, 401.58026123046875, 408.9277648925781]","[315.2905586971476, 315.59683001200364, 315.8675339220101]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,30,series_00132,5,2019-03-01,True,2019-04-01,2019-06-01,0.260087,[0.153614 0.167952 0.458695],"[401.58026123046875, 408.9277648925781, 629.1546020507812]","[339.8917714278491, 340.2475942360821, 340.56477117337965]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.042425,[0.072243 0.045896 0.009138],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[114.59436481606585, 114.20565301664209, 113.85979718483807]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,61,series_00008,1,2018-11-01,True,2018-12-01,2019-02-01,0.068364,[0.006356 0.030918 0.167817],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[109.8881099893904, 109.34026928456552, 108.85254680057912]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,61,series_00008,2,2018-12-01,True,2019-01-01,2019-03-01,0.154574,[0.039846 0.175917 0.24796 ],"[112.82874298095703, 130.8035888671875, 142.6942138671875]","[108.33300922182579, 107.79299127556276, 107.3117571735174]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,61,series_00008,3,2019-01-01,True,2019-02-01,2019-04-01,0.20575,[0.174954 0.247064 0.195231],"[130.8035888671875, 142.6942138671875, 132.97259521484375]","[107.91898145697883, 107.4395687645944, 107.01216590985078]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,61,series_00008,4,2019-02-01,True,2019-03-01,2019-05-01,0.142865,[0.237904 0.184979 0.005711],"[142.6942138671875, 132.97259521484375, 108.66486358642578]","[108.74670969162581, 108.37547462609143, 108.04429782902429]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,61,series_00008,5,2019-03-01,True,2019-04-01,2019-06-01,0.077324,[0.137573 0.054963 0.039437],"[132.97259521484375, 108.66486358642578, 119.3052749633789]","[114.67913229329459, 114.6374127667258, 114.6002120817779]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.400107,[0.267677 0.424925 0.507718],"[100.0, 206.1466064453125, 224.12342834472656]","[126.76774730306215, 118.54985824343223, 110.3319691838023]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,66,series_00031,1,2018-11-01,True,2018-12-01,2019-02-01,0.308984,[0.405307 0.489168 0.032477],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[122.59392793585539, 114.48951934480576, 106.38511075375612]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,66,series_00031,2,2018-12-01,True,2019-01-01,2019-03-01,0.283535,[0.513507 0.084244 0.252854],"[224.12342834472656, 109.95612335205078, 123.6056900024414]","[109.03450398108492, 100.6930297567784, 92.35155553247186]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,66,series_00031,3,2019-01-01,True,2019-02-01,2019-04-01,0.151046,[0.035629 0.142426 0.275082],"[109.95612335205078, 123.6056900024414, 135.364501953125]","[113.87376118256867, 106.00097598308523, 98.1281907836018]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,66,series_00031,4,2019-02-01,True,2019-03-01,2019-05-01,0.162314,[0.029498 0.168373 0.28907 ],"[123.6056900024414, 135.364501953125, 147.95562744140625]","[119.95955590964184, 112.5728286067824, 105.18610130392295]",{'season_length': 12}
